"pressure","wellbeing","cooperation","competition","formalization","flexibility","performance","innoprocess","innoproduct","size","duration","Culture.national","Culture.craft","distance","function."
4.5,3,4,2.8,3,3,5,5,5,"2","2",4,4,4,"2"
3.5,3.25,3.75,3.2,3.67,4,3.6,3,3.5,"2","2",1,4,1.33,"2"
3.5,2.25,3.75,1.4,3,2.67,4,1,3.5,"2","2",1,4,1,"2"
3.5,2.5,4.25,1.2,5,4,4.8,3,3,"2","1",1,5,3,"2"
2,2.5,3.5,1.6,4,3,3.2,2.5,2.89,"2","2",1,5,2.33,"2"
2,3.75,2.5,2.2,3.33,1.33,4.6,3,2.89,"2","2",5,5,4.67,"2"
3,2,2.75,1.4,4,3.33,3.8,1,2,"2","2",1,1,3,"2"
2.5,3.75,4,1.2,2,3.33,4,3,3,"2","1",1,4,1,"2"
2.5,3,4.5,2.8,4.33,4.33,4.2,3.5,2.89,"2","2",5,5,2.67,"2"
2,4,4,1,2,5,3.6,3,3,"2","1",3,3,2,"3"
4.5,2,2.75,2.8,2.33,3.33,3,2,2,"2","3",1,2,1.67,"3"
4,3,2.75,2.6,3.33,2.67,3.2,3.5,2,"2","4",5,3,5,"3"
4,2.5,2.5,2.6,3,4.33,3.25,2,2.5,"2","2",4,5,3.67,"3"
4.5,2.25,2.25,1.8,2.67,4,1.8,1.5,2.83,"2","5",5,5,5,"3"
4,3.5,2.5,3.8,2.67,3.33,2.4,3,3,"2","2",2,4,1.33,"3"
3.5,3.5,2.98,2,4,2,3.4,2.5,2,"2","2",1,4,2,"3"
4,2,4.5,1,5,5,2.2,2.95,4.5,"2","1",3,5,1,"3"
3,3.5,2.98,2,4,3.55,2.2,2.45,2.83,"2","1",1,4,1,"3"
1,3.25,3,2.8,2.33,4,2.2,2.5,2,"2","2",2,4,2.67,"3"
3.5,3,3.5,2.16,4,4.33,4.4,2,2,"2","2",1,4,2,"3"
5,2,2.5,2.2,3.33,4,2.6,2.5,3.5,"2","1",3,5,2.67,"3"
5,4.75,2.5,2.2,4,5,4.6,1,2.89,"2","1",5,4,5,"3"
4,2.75,4,2.2,3,4,3.6,3,3,"2","0",1,5,2,"3"
2.5,3.5,4.5,1.6,4,4,3.65,3,3.33,"2","3",1,2,1,"3"
3,2.75,2.5,3,2.67,4,3,1,2,"2","2",1,3,1,"3"
4,3,2.5,3.04,1,2.67,4.4,3,3,"2","2",5,5,3.67,"3"
4,4.75,1,1,3.33,2.33,3,3,1,"2","3",2,2,1,"3"
3,4.25,3.75,1.8,3.67,5,2.8,3,2.89,"2","1",4,5,3,"3"
3,4,4.25,1,2.33,2,3.05,1.5,4,"2","1",4,5,3.67,"3"
4,3,2.25,2.8,1.67,3.67,3.4,2.45,1.5,"2","2",5,5,4,"3"
3,3,4.5,1.8,4.33,4,2.6,2.5,3,"2","2",1,4,2.33,"3"
2,2.75,2.25,2.8,3.33,1,3.45,3,2.89,"2","1",1,4,1,"3"
3.5,3.25,3,2.2,4,4,3,3,3,"2","1",3,5,1.67,"3"
1.5,3.25,3.5,2.2,3.67,3.67,3.6,3,3,"2","1",5,5,2.33,"3"
1.5,3.75,4,3.2,2.67,3.67,3.6,1,1,"2","2",1,4,1,"3"
4,3,3,3.6,2.67,4,3.4,2,3,"2","2",5,2,3,"3"
3.5,3.75,2.25,1.8,4,2.67,3.8,3.5,2,"2","1",1,5,1,"3"
3.5,2,4.5,2.64,3.33,3.33,2,1.5,2,"2","1",1,4,1.33,"3"
2.5,3.25,3.25,1,4,4,3.45,2,1.5,"2","1",5,5,5,"3"
2,4,4,1.2,4,4.33,3,3.5,5,"2","1",5,4,5,"3"
4,3.25,3.25,1,2,2.33,2,1.5,1,"2","1",2,4,1.67,"3"
4,2.5,2.5,3.2,4.33,2,2,2,2.5,"2","2",1,5,2.33,"3"
3.5,3.25,3,1.6,3,4,2,2.5,4,"2","2",4,5,1.33,"3"
5,2,4.25,2.2,4,3.67,3.6,3.5,3.5,"3","0",5,4,4,"1"
4.5,2.75,1.75,2.4,4.33,4.33,4.2,4,4.5,"3","1",1,5,1,"1"
4,2.75,3,1.8,2.67,4.67,2.85,2,2,"3","2",2,4,2,"2"
5,1.75,3.5,3.6,3.67,4.67,4.2,3.5,2.89,"3","1",5,5,4.33,"2"
